Country,year,Agricultural_Perc,Forest_Perc
Brazil,1990,28.90690991,65.40988785
Brazil,1995,30.9245837,63.88855654
Brazil,2000,31.27561874,62.36722524
Brazil,2005,32.5948828,60.62760375
Brazil,2010,32.71816457,59.63743129
Brazil,2015,33.98878219,59.04878358
Brazil,2016,33.92453345,58.93105404
