Data Source,Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,31.3,,,,,,,,,,,,,,,,,
Chile,CHL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,27.7,,,,28.9,,,,,29.3,,,,,,,
China,CHN,"Age at first marriage, male",SP.DYN.SMAM.MA,,24.2,,,,,25.1,,,,,25.6,,,,,26.5,,,26.2,,,,,
Cote d'Ivoire,CIV,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,28.5,28,29.1,,,,,,,,,,,,28,,,,,,
Cameroon,CMR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,26.7,,28.1,,,,25,27.7,,,,,,27.2,,,,,,,
"Congo, Dem. Rep.",COD,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,26.2,,,,,,25.2,,,,,,,25.5,,,,
"Congo, Rep.",COG,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,25.8,,,,27.5,,,26.9,,,,,,
Colombia,COL,"Age at first marriage, male",SP.DYN.SMAM.MA,,26.8,,,,,27,,,,,26.9,26.5,,,,26.8,,,,,,,,
Comoros,COM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,28.5,,,,26.8,,,,,,,,,,,,25.5,,,,,,
Cabo Verde,CPV,"Age at first marriage, male",SP.DYN.SMAM.MA,27.6,,,,28.4,,28.8,,,,,27.9,,,,,,,,,,,,,
Costa Rica,CRI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,26,,,26.9,,,27,27.6,,27.9,27.8,27,,29.1,28.8,,,,
Caribbean small states,CSS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,25.3,,,,,,,,,,25.4,,,,,,
Curacao,CUW,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,29.9,,,,,,,,
Cyprus,CYP,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,28.7,,,,,,,,,,29.3,,,,,,,
Czech Republic,CZE,"Age at first marriage, male",SP.DYN.SMAM.MA,,26.4,26.8,,,,,28.6,29.2,,30.1,30.5,30.9,31.2,31.6,32.1,,31.1,32.9,33.3,33.7,,,,
Germany,DEU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,32.6,,,33.3,,33.6,,,,,29.8,34.2,34.2,,,,,
Djibouti,DJI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,30.8,,,,,,,,,,,,,,,,
Dominica,DMA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,36.5,,,,,,,,,,,,,,,,,
Denmark,DNK,"Age at first marriage, male",SP.DYN.SMAM.MA,,27.7,27.7,27.7,,,,32.9,32.8,32.9,32.8,32.8,32.8,32.8,32.7,32.7,32.7,27.4,33,33.2,33.3,,,,
Dominican Republic,DOM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,25.5,,,24.3,,,26.1,,,,,25.4,,,25.6,,,24.8,,,,,
Algeria,DZA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,33,,,,33.4,,32.9,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
