year,state,month,number,date
2017,Sao Paulo,Novembro,37,1/1/2017
2013,Sao Paulo,Dezembro,109,1/1/2013
2014,Sao Paulo,Dezembro,57,1/1/2014
2015,Sao Paulo,Dezembro,45,1/1/2015
2016,Sao Paulo,Dezembro,47,1/1/2016
2013,Sergipe,Janeiro,34,1/1/2013
2014,Sergipe,Janeiro,20,1/1/2014
2015,Sergipe,Janeiro,44,1/1/2015
2016,Sergipe,Janeiro,9,1/1/2016
2017,Sergipe,Janeiro,31,1/1/2017
2013,Sergipe,Fevereiro,47,1/1/2013
2014,Sergipe,Fevereiro,18,1/1/2014
2015,Sergipe,Fevereiro,40,1/1/2015
2016,Sergipe,Fevereiro,22,1/1/2016
2017,Sergipe,Fevereiro,18,1/1/2017
2013,Sergipe,Março,67,1/1/2013
2014,Sergipe,Março,33,1/1/2014
2015,Sergipe,Março,49,1/1/2015
2016,Sergipe,Março,26,1/1/2016
2017,Sergipe,Março,16,1/1/2017
2013,Sergipe,Abril,15,1/1/2013
2014,Sergipe,Abril,7,1/1/2014
2015,Sergipe,Abril,35,1/1/2015
2016,Sergipe,Abril,14,1/1/2016
2017,Sergipe,Abril,8,1/1/2017
2013,Sergipe,Maio,1,1/1/2013
2014,Sergipe,Maio,1,1/1/2014
2015,Sergipe,Maio,11,1/1/2015
2016,Sergipe,Maio,9,1/1/2016
2017,Sergipe,Maio,1,1/1/2017
2013,Sergipe,Junho,1,1/1/2013
2014,Sergipe,Junho,0,1/1/2014
2015,Sergipe,Junho,3,1/1/2015
2016,Sergipe,Junho,1,1/1/2016
2017,Sergipe,Junho,0,1/1/2017
2013,Sergipe,Julho,0,1/1/2013
2014,Sergipe,Julho,0,1/1/2014
2015,Sergipe,Julho,0,1/1/2015
2016,Sergipe,Julho,0,1/1/2016
2017,Sergipe,Julho,0,1/1/2017
2013,Sergipe,Agosto,0,1/1/2013
2014,Sergipe,Agosto,0,1/1/2014
2015,Sergipe,Agosto,0,1/1/2015
2016,Sergipe,Agosto,6,1/1/2016
2017,Sergipe,Agosto,0,1/1/2017
2013,Sergipe,Setembro,1,1/1/2013
2014,Sergipe,Setembro,4,1/1/2014
2015,Sergipe,Setembro,1,1/1/2015
2016,Sergipe,Setembro,2,1/1/2016
2017,Sergipe,Setembro,0,1/1/2017
2013,Sergipe,Outubro,3,1/1/2013
2014,Sergipe,Outubro,3,1/1/2014
2015,Sergipe,Outubro,6,1/1/2015
2016,Sergipe,Outubro,10,1/1/2016
2017,Sergipe,Outubro,0,1/1/2017
2013,Sergipe,Novembro,7,1/1/2013
2014,Sergipe,Novembro,9,1/1/2014
2015,Sergipe,Novembro,47,1/1/2015
2016,Sergipe,Novembro,17,1/1/2016
2017,Sergipe,Novembro,1,1/1/2017
2013,Sergipe,Dezembro,9,1/1/2013
2014,Sergipe,Dezembro,9,1/1/2014
2015,Sergipe,Dezembro,63,1/1/2015
2016,Sergipe,Dezembro,36,1/1/2016
2013,Tocantins,Janeiro,50,1/1/2013
2014,Tocantins,Janeiro,89,1/1/2014
2015,Tocantins,Janeiro,186,1/1/2015
2016,Tocantins,Janeiro,42,1/1/2016
2017,Tocantins,Janeiro,61,1/1/2017
2013,Tocantins,Fevereiro,37,1/1/2013
2014,Tocantins,Fevereiro,73,1/1/2014
2015,Tocantins,Fevereiro,65,1/1/2015
2016,Tocantins,Fevereiro,383,1/1/2016
2017,Tocantins,Fevereiro,25,1/1/2017
2013,Tocantins,Março,60,1/1/2013
2014,Tocantins,Março,58,1/1/2014
2015,Tocantins,Março,85,1/1/2015
2016,Tocantins,Março,165,1/1/2016
2017,Tocantins,Março,98,1/1/2017
2013,Tocantins,Abril,130,1/1/2013
2014,Tocantins,Abril,187,1/1/2014
2015,Tocantins,Abril,88,1/1/2015
2016,Tocantins,Abril,369,1/1/2016
2017,Tocantins,Abril,164,1/1/2017
2013,Tocantins,Maio,373,1/1/2013
2014,Tocantins,Maio,618,1/1/2014
2015,Tocantins,Maio,512,1/1/2015
2016,Tocantins,Maio,778,1/1/2016
2017,Tocantins,Maio,576,1/1/2017
2013,Tocantins,Junho,873,1/1/2013
2014,Tocantins,Junho,1.372,1/1/2014
2015,Tocantins,Junho,1.15,1/1/2015
2016,Tocantins,Junho,1.148,1/1/2016
2017,Tocantins,Junho,1.32,1/1/2017
2013,Tocantins,Julho,1.393,1/1/2013
2014,Tocantins,Julho,1.404,1/1/2014
2015,Tocantins,Julho,1.217,1/1/2015
2016,Tocantins,Julho,2.737,1/1/2016
2017,Tocantins,Julho,2.397,1/1/2017
2013,Tocantins,Agosto,1.81,1/1/2013
2014,Tocantins,Agosto,2.917,1/1/2014
2015,Tocantins,Agosto,2.54,1/1/2015
2016,Tocantins,Agosto,3.213,1/1/2016
2017,Tocantins,Agosto,3.536,1/1/2017
2013,Tocantins,Setembro,2.445,1/1/2013
2014,Tocantins,Setembro,3.52,1/1/2014
2015,Tocantins,Setembro,5.51,1/1/2015
2016,Tocantins,Setembro,3.245,1/1/2016
2017,Tocantins,Setembro,10.737,1/1/2017
2013,Tocantins,Outubro,2.155,1/1/2013
2014,Tocantins,Outubro,4,1/1/2014
2015,Tocantins,Outubro,4.844,1/1/2015
2016,Tocantins,Outubro,2.032,1/1/2016
2017,Tocantins,Outubro,2.969,1/1/2017
2013,Tocantins,Novembro,345,1/1/2013
2014,Tocantins,Novembro,451,1/1/2014
2015,Tocantins,Novembro,833,1/1/2015
2016,Tocantins,Novembro,623,1/1/2016
2017,Tocantins,Novembro,434,1/1/2017
2013,Tocantins,Dezembro,85,1/1/2013
2014,Tocantins,Dezembro,223,1/1/2014
2015,Tocantins,Dezembro,373,1/1/2015
2016,Tocantins,Dezembro,119,1/1/2016
